device_id,timestamp,raw_reading,status_code
SENSOR_004,2026-08-14 16:53:42.034029,68.74,OK
SENSOR_003,2026-08-14 16:53:42.034029,98.84,OK
SENSOR_004,2026-08-14 16:56:42.034029,81.91,WARN
SENSOR_004,2026-08-14 17:00:42.034029,78.69,OK
SENSOR_002,2026-08-14 17:05:42.034029,83.85,OK
SENSOR_003,2026-08-14 17:06:42.034029,102.61,OK
SENSOR_004,2026-08-14 17:08:42.034029,99.98,ERR
SENSOR_001,2026-08-14 17:09:42.034029,55.26,ERR
SENSOR_001,2026-08-14 17:11:42.034029,59.87,OK
SENSOR_005,2026-08-14 17:12:42.034029,54.83,WARN
SENSOR_003,2026-08-14 17:13:42.034029,65.66,OK
SENSOR_003,2026-08-14 17:14:42.034029,75.69,OK
SENSOR_005,2026-08-14 17:18:42.034029,78.03,ERR
SENSOR_004,2026-08-14 17:26:42.034029,55.87,OK
SENSOR_003,2026-08-14 17:27:42.034029,51.66,OK
SENSOR_001,2026-08-14 17:29:42.034029,65.44,WARN
SENSOR_001,2026-08-14 17:32:42.034029,86.45,OK
SENSOR_002,2026-08-14 17:38:42.034029,88.63,OK
SENSOR_003,2026-08-14 17:42:42.034029,96.32,OK
SENSOR_004,2026-08-14 17:45:42.034029,74.6,OK
SENSOR_005,2026-08-14 17:56:42.034029,85.35,OK
SENSOR_005,2026-08-14 18:19:42.034029,87.62,ERR
SENSOR_004,2026-08-14 18:23:42.034029,68.79,OK
SENSOR_002,2026-08-14 18:25:42.034029,79.85,OK
SENSOR_005,2026-08-14 18:27:42.034029,83.23,OK
SENSOR_003,2026-08-14 18:30:42.034029,63.64,OK
SENSOR_002,2026-08-14 18:30:42.034029,95.53,WARN
SENSOR_003,2026-08-14 18:30:42.034029,74.51,WARN
SENSOR_001,2026-08-14 18:35:42.034029,76.09,OK
SENSOR_002,2026-08-14 18:44:42.034029,63.16,WARN
SENSOR_005,2026-08-14 18:48:42.034029,65.26,OK
SENSOR_002,2026-08-14 18:51:42.034029,47.54,OK
SENSOR_002,2026-08-14 18:53:42.034029,75.69,OK
SENSOR_002,2026-08-14 18:54:42.034029,106.32,OK
SENSOR_002,2026-08-14 18:59:42.034029,62.27,ERR
SENSOR_003,2026-08-14 19:02:42.034029,112.2,OK
SENSOR_001,2026-08-14 19:06:42.034029,92.68,OK
SENSOR_004,2026-08-14 19:15:42.034029,69.08,WARN
SENSOR_002,2026-08-14 19:15:42.034029,75.34,OK
SENSOR_005,2026-08-14 19:18:42.034029,73.31,OK
SENSOR_002,2026-08-14 19:21:42.034029,96.33,ERR
SENSOR_005,2026-08-14 19:22:42.034029,81.46,OK
SENSOR_003,2026-08-14 19:23:42.034029,89.77,OK
SENSOR_005,2026-08-14 19:24:42.034029,79.48,WARN
SENSOR_004,2026-08-14 19:25:42.034029,73.6,OK
SENSOR_001,2026-08-14 19:26:42.034029,79.08,OK
SENSOR_005,2026-08-14 19:29:42.034029,69.91,WARN
SENSOR_005,2026-08-14 19:32:42.034029,56.85,OK
SENSOR_001,2026-08-14 19:33:42.034029,85.17,OK
SENSOR_004,2026-08-14 19:38:42.034029,56.24,ERR
SENSOR_002,2026-08-14 19:52:42.034029,71.64,WARN
SENSOR_005,2026-08-14 19:58:42.034029,69.5,WARN
SENSOR_001,2026-08-14 19:59:42.034029,83.04,OK
SENSOR_003,2026-08-14 20:01:42.034029,94.56,WARN
SENSOR_001,2026-08-14 20:01:42.034029,90.06,OK
SENSOR_003,2026-08-14 20:02:42.034029,83.41,OK
SENSOR_004,2026-08-14 20:09:42.034029,67.13,OK
SENSOR_002,2026-08-14 20:12:42.034029,72.71,ERR
SENSOR_001,2026-08-14 20:13:42.034029,70.88,OK
SENSOR_005,2026-08-14 20:14:42.034029,69.12,OK
SENSOR_004,2026-08-14 20:17:42.034029,69.97,OK
SENSOR_001,2026-08-14 20:18:42.034029,69.64,WARN
SENSOR_005,2026-08-14 20:19:42.034029,69.08,OK
SENSOR_001,2026-08-14 20:28:42.034029,86.9,OK
SENSOR_003,2026-08-14 20:29:42.034029,61.82,OK
SENSOR_001,2026-08-14 20:31:42.034029,65.88,ERR
SENSOR_001,2026-08-14 20:37:42.034029,55.21,OK
SENSOR_001,2026-08-14 20:41:42.034029,92.69,OK
SENSOR_004,2026-08-14 20:42:42.034029,65.04,OK
SENSOR_001,2026-08-14 20:42:42.034029,83.26,WARN
SENSOR_005,2026-08-14 20:53:42.034029,80.94,OK
SENSOR_003,2026-08-14 20:57:42.034029,91.49,OK
SENSOR_003,2026-08-14 20:58:42.034029,72.37,OK
SENSOR_001,2026-08-14 20:58:42.034029,63.16,OK
SENSOR_004,2026-08-14 21:04:42.034029,55.55,ERR
SENSOR_004,2026-08-14 21:04:42.034029,40.19,OK
SENSOR_005,2026-08-14 21:05:42.034029,77.02,ERR
SENSOR_001,2026-08-14 21:05:42.034029,84.69,WARN
SENSOR_003,2026-08-14 21:09:42.034029,80.9,OK
SENSOR_004,2026-08-14 21:14:42.034029,55.88,OK
SENSOR_001,2026-08-14 21:15:42.034029,87.99,OK
SENSOR_004,2026-08-14 21:20:42.034029,66.27,OK
SENSOR_004,2026-08-14 21:21:42.034029,63.66,OK
SENSOR_003,2026-08-14 21:28:42.034029,65.99,WARN
SENSOR_002,2026-08-14 21:31:42.034029,75.98,OK
SENSOR_005,2026-08-14 21:31:42.034029,56.44,WARN
SENSOR_005,2026-08-14 21:35:42.034029,74.54,ERR
SENSOR_003,2026-08-14 21:40:42.034029,80.37,WARN
SENSOR_004,2026-08-14 21:45:42.034029,88.84,ERR
SENSOR_001,2026-08-14 21:47:42.034029,77.2,OK
SENSOR_004,2026-08-14 21:53:42.034029,58.25,OK
SENSOR_003,2026-08-14 21:56:42.034029,76.86,OK
SENSOR_005,2026-08-14 22:05:42.034029,61.75,OK
SENSOR_004,2026-08-14 22:07:42.034029,61.03,OK
SENSOR_005,2026-08-14 22:09:42.034029,57.97,ERR
SENSOR_001,2026-08-14 22:12:42.034029,51.11,OK
SENSOR_005,2026-08-14 22:22:42.034029,67.91,OK
SENSOR_005,2026-08-14 22:27:42.034029,89.11,OK
SENSOR_002,2026-08-14 22:29:42.034029,103.21,OK
SENSOR_002,2026-08-14 22:29:42.034029,67.83,OK
SENSOR_002,2026-08-14 22:29:42.034029,88.58,OK
SENSOR_005,2026-08-14 22:32:42.034029,70.07,OK
SENSOR_003,2026-08-14 22:35:42.034029,54.37,OK
SENSOR_005,2026-08-14 22:37:42.034029,83.76,ERR
SENSOR_003,2026-08-14 22:48:42.034029,77.94,OK
SENSOR_003,2026-08-14 23:01:42.034029,97.73,OK
SENSOR_002,2026-08-14 23:10:42.034029,55.82,OK
SENSOR_004,2026-08-14 23:11:42.034029,109.95,OK
SENSOR_001,2026-08-14 23:16:42.034029,94.9,ERR
